"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",11,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912933d0d5d20100",14,2808
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",4,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912933d0d6d20100",15,2808
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912933d0d7d20100",16,2808
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"8","8 or more people in household","QS406EW0009","Household Size",10000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912933d0d8d20100",17,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",619,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d0d20100",18,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",176,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d1d20100",19,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",290,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d2d20100",20,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d3d20100",21,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",62,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d4d20100",22,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",20,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d5d20100",23,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d6d20100",24,2808
"2011","2011","2011","date",0,0,"1249912934","Bradford 001C","E01010648","2011 super output areas - lower layer",298,2,"0","Total","0","2011 rural-urban classification",2000,0,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-538d1d32176e0d1249912934d0d7d20100",25,2808
