"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"203","One family only: Lone parent","203","Household Composition",10000,14,"20100","Value",35,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d10a11d20100",14,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"10","One family only: Lone parent: Dependent children","KS105EW0011","Household Composition",10000,15,"20100","Value",16,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d10d20100",15,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"11","One family only: Lone parent: All children non-dependent","KS105EW0012","Household Composition",10000,16,"20100","Value",19,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d11d20100",16,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"300","Other household types","300","Household Composition",10000,17,"20100","Value",12,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d12a13a14a15d20100",17,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"12","Other household types: With dependent children","KS105EW0013","Household Composition",10000,18,"20100","Value",4,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d12d20100",18,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"13","Other household types: All full-time students","KS105EW0014","Household Composition",10000,19,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d13d20100",19,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"14","Other household types: All aged 65 and over","KS105EW0015","Household Composition",10000,20,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d14d20100",20,6864
"2011","2011","2011","date",0,0,"1249912932","Bradford 001A","E01010646","2011 super output areas - lower layer",298,0,"0","Total","0","2011 rural-urban classification",2000,0,"15","Other household types: Other","KS105EW0016","Household Composition",10000,21,"20100","Value",7,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912932d0d15d20100",21,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"0","All categories: Household composition","KS105EW0001","Household Composition",10000,0,"20100","Value",509,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d0d20100",22,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"100","One person household","100","Household Composition",10000,1,"20100","Value",182,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d1a2d20100",23,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"1","One person household: Aged 65 and over","KS105EW0002","Household Composition",10000,2,"20100","Value",112,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d1d20100",24,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"2","One person household: Other","KS105EW0003","Household Composition",10000,3,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d2d20100",25,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"200","One family household","200","Household Composition",10000,4,"20100","Value",306,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d3a4a5a6a7a8a9a10a11d20100",26,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"3","One family only: All aged 65 and over","KS105EW0004","Household Composition",10000,5,"20100","Value",65,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d3d20100",27,6864
"2011","2011","2011","date",0,0,"1249912933","Bradford 001B","E01010647","2011 super output areas - lower layer",298,1,"0","Total","0","2011 rural-urban classification",2000,0,"201","One family only: Married or same-sex civil partnership couple","201","Household Composition",10000,6,"20100","Value",174,"A","Normal Value","F","Free (free for publication)","Nm-605d1d32176e0d1249912933d0d4a5a6d20100",28,6864
