"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHCOMP_15","C2021_HHCOMP_15_NAME","C2021_HHCOMP_15_CODE","C2021_HHCOMP_15_TYPE","C2021_HHCOMP_15_TYPECODE","C2021_HHCOMP_15_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1006","Single family household: Other single family household","1006","Household composition",1000000,17,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d12d20100",17,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"12","Single family household: Other single family household: Other family composition","_12","Household composition",1000000,18,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d12d20100",18,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1007","Other household types","1007","Household composition",1000000,19,"20100","Value",17,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d13a14d20100",19,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"13","Other household types: With dependent children","_13","Household composition",1000000,20,"20100","Value",9,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d13d20100",20,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"14","Other household types: Other, including all full-time students and all aged 66 years and over","_14","Household composition",1000000,21,"20100","Value",8,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d14d20100",21,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"0","Total: All households","0","Household composition",1000000,0,"20100","Value",524,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d0d20100",22,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1001","One-person household","1001","Household composition",1000000,1,"20100","Value",217,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d1a2d20100",23,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1","One-person household: Aged 66 years and over","_1","Household composition",1000000,2,"20100","Value",142,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d1d20100",24,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"2","One-person household: Other","_2","Household composition",1000000,3,"20100","Value",75,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d2d20100",25,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1002","Single family household","1002","Household composition",1000000,4,"20100","Value",299,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d3a4a5a6a7a8a9a10a11a12d20100",26,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"3","Single family household: All aged 66 years and over","_3","Household composition",1000000,5,"20100","Value",84,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d3d20100",27,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1003","Single family household: Married or civil partnership couple","1003","Household composition",1000000,6,"20100","Value",143,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d4a5a6d20100",28,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"4","Single family household: Married or civil partnership couple: No children","_4","Household composition",1000000,7,"20100","Value",47,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d4d20100",29,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"5","Single family household: Married or civil partnership couple: Dependent children","_5","Household composition",1000000,8,"20100","Value",73,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d5d20100",30,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"6","Single family household: Married or civil partnership couple: All children non-dependent","_6","Household composition",1000000,9,"20100","Value",23,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d6d20100",31,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1004","Single family household: Cohabiting couple family","1004","Household composition",1000000,10,"20100","Value",38,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d7a8a9d20100",32,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"7","Single family household: Cohabiting couple family: No children","_7","Household composition",1000000,11,"20100","Value",26,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d7d20100",33,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"8","Single family household: Cohabiting couple family: With dependent children","_8","Household composition",1000000,12,"20100","Value",9,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d8d20100",34,6908
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"9","Single family household: Cohabiting couple family: All children non-dependent","_9","Household composition",1000000,13,"20100","Value",3,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350023d9d20100",35,6908
