"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",606,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d0d20100",18,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",166,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d1d20100",19,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",257,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d2d20100",20,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",77,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d3d20100",21,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",83,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d4d20100",22,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",18,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d5d20100",23,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d6d20100",24,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d7d20100",25,2781
"2001","2001","2001","date",0,0,"1275079064","Bradford 001C","E01010648","2001 super output areas - lower layer",304,2,"8","8 or more people in household","QS406EW0009","Household Size",10000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079064d8d20100",26,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",685,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d0d20100",27,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",234,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d1d20100",28,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",254,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d2d20100",29,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",79,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d3d20100",30,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d4d20100",31,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",31,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d5d20100",32,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",4,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d6d20100",33,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",3,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d7d20100",34,2781
"2001","2001","2001","date",0,0,"1275079108","Bradford 001D","E01010692","2001 super output areas - lower layer",304,3,"8","8 or more people in household","QS406EW0009","Household Size",10000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079108d8d20100",35,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",603,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d0d20100",36,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",149,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d1d20100",37,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",262,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d2d20100",38,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",63,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d3d20100",39,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",81,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d4d20100",40,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",38,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d5d20100",41,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",10,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d6d20100",42,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d7d20100",43,2781
"2001","2001","2001","date",0,0,"1275079107","Bradford 002A","E01010691","2001 super output areas - lower layer",304,4,"8","8 or more people in household","QS406EW0009","Household Size",10000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079107d8d20100",44,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",530,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d0d20100",45,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",67,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d1d20100",46,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",237,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d2d20100",47,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",85,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d3d20100",48,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",93,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d4d20100",49,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",43,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d5d20100",50,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d6d20100",51,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d7d20100",52,2781
"2001","2001","2001","date",0,0,"1275079109","Bradford 002B","E01010693","2001 super output areas - lower layer",304,5,"8","8 or more people in household","QS406EW0009","Household Size",10000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079109d8d20100",53,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",587,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d0d20100",54,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",115,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d1d20100",55,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",270,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d2d20100",56,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",79,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d3d20100",57,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d4d20100",58,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",33,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d5d20100",59,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"6","6 people in household","QS406EW0007","Household Size",10000,6,"20100","Value",7,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d6d20100",60,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"7","7 people in household","QS406EW0008","Household Size",10000,7,"20100","Value",3,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d7d20100",61,2781
"2001","2001","2001","date",0,0,"1275079110","Bradford 002C","E01010694","2001 super output areas - lower layer",304,6,"8","8 or more people in household","QS406EW0009","Household Size",10000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079110d8d20100",62,2781
"2001","2001","2001","date",0,0,"1275079111","Bradford 002D","E01010695","2001 super output areas - lower layer",304,7,"0","All categories: Household size","QS406EW0001","Household Size",10000,0,"20100","Value",734,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079111d0d20100",63,2781
"2001","2001","2001","date",0,0,"1275079111","Bradford 002D","E01010695","2001 super output areas - lower layer",304,7,"1","1 person in household","QS406EW0002","Household Size",10000,1,"20100","Value",335,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079111d1d20100",64,2781
"2001","2001","2001","date",0,0,"1275079111","Bradford 002D","E01010695","2001 super output areas - lower layer",304,7,"2","2 people in household","QS406EW0003","Household Size",10000,2,"20100","Value",230,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079111d2d20100",65,2781
"2001","2001","2001","date",0,0,"1275079111","Bradford 002D","E01010695","2001 super output areas - lower layer",304,7,"3","3 people in household","QS406EW0004","Household Size",10000,3,"20100","Value",64,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079111d3d20100",66,2781
"2001","2001","2001","date",0,0,"1275079111","Bradford 002D","E01010695","2001 super output areas - lower layer",304,7,"4","4 people in household","QS406EW0005","Household Size",10000,4,"20100","Value",74,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079111d4d20100",67,2781
"2001","2001","2001","date",0,0,"1275079111","Bradford 002D","E01010695","2001 super output areas - lower layer",304,7,"5","5 people in household","QS406EW0006","Household Size",10000,5,"20100","Value",26,"A","Normal Value","F","Free (free for publication)","Nm-1669d1d32016e0d1275079111d5d20100",68,2781
